product,price,rating,units_sold,in_stock,category
Tablet,1945.2523299762054,4.633063543866615,,Yes,Accessories
Watch,1595.2390820500061,1.9582475626678897,,No,Accessories
Laptop,1891.0980948155404,1.5795794883648924,990.0,No,Accessories
Tablet,1810.6892307697678,2.957811041110252,937.0,No,Accessories
Tablet,,4.942601816442403,992.0,Yes,Electronics
Watch,1859.3736230416102,1.9682210860460017,170.0,No,Accessories
Laptop,,3.688542189623514,265.0,No,Electronics
Laptop,552.7691523544613,4.04647846131487,,No,Accessories
Tablet,281.4091200389685,1.9505501759695987,137.0,No,Accessories
Phone,785.5945953738758,3.9128653944474383,27.0,Yes,Accessories
Tablet,899.6191214410676,2.471132530877013,,Yes,Electronics
Tablet,688.4282571930127,,744.0,No,Accessories
Tablet,1691.7275164734729,,575.0,Yes,Accessories
Tablet,842.1559880484607,3.143098736299034,,Yes,Accessories
Watch,705.6821174372853,1.3611590802176332,332.0,No,Accessories
Laptop,1176.8529496848473,4.341209982356952,881.0,No,Electronics
Watch,453.66360495457275,2.2831202598869433,695.0,Yes,Accessories
Watch,1643.9545653572713,1.746074041599417,801.0,No,Electronics
Watch,334.19115862358746,1.1631005662190557,635.0,Yes,Electronics
Tablet,,3.3635717727529673,297.0,No,Electronics
Phone,1590.0405847339835,3.7102574473691297,952.0,Yes,Electronics
Laptop,,1.0663513157114246,863.0,No,Electronics
Phone,209.93981082248433,3.048372233197124,672.0,Yes,Electronics
Watch,1667.8305712187014,1.9059831007917518,971.0,Yes,Accessories
Watch,1472.3432189257107,3.5806911616377994,648.0,Yes,Electronics
Phone,1512.2129024737771,,,No,Electronics
Phone,,3.763750952409864,499.0,Yes,Electronics
Phone,,2.5469413852021496,395.0,Yes,Accessories
Watch,845.2383113796907,4.746919954946938,995.0,No,Accessories
Watch,408.5643071452335,1.550083776583973,794.0,No,Electronics
Laptop,,2.364265404201034,113.0,Yes,Accessories
Laptop,,1.4538940849623563,,Yes,Electronics
Watch,795.6164447347685,4.698774473114251,402.0,No,Electronics
Phone,,4.509357413523924,820.0,No,Accessories
Phone,759.7681790881919,2.0317665108606224,255.0,No,Electronics
Laptop,785.3299796481447,3.639936184136716,185.0,No,Accessories
Watch,,,48.0,No,Accessories
Laptop,,3.2208032463978493,,Yes,Electronics
Laptop,1796.9829366373879,3.118602313424026,691.0,No,Electronics
Tablet,1049.9868652915088,1.9674091636018067,768.0,Yes,Accessories
