# Documentation of JSON Output Capability
# This checklist tracks which commands properly implement the natural English and JSON output formats
# 
# STATUS LEGEND:
# VERIFIED: Command has been manually tested and confirmed to work with both output formats
# PENDING: Command expected to work but needs manual verification
# FAILED: Command does not properly implement one or both output formats
#
# IMPORTANT NOTE ON COMMAND ORGANIZATION:
# The system now displays commands in two ways:
# 1. Primary commands: Shown in their respective categories (SYSTEM, FILE, DEV)
# 2. Alias commands: Shown in a separate ALIAS category with reference to their original command
#
# All commands marked as PENDING need manual verification by running:
# 1. python qzx.py command_name (for natural language output)
# 2. python qzx.py command_name --json (for JSON output)
#
Command Name,Category,Natural English Output,JSON Output,Status,Notes
getCurrentTime,system,✓,✓,VERIFIED,"Output shows time in natural language by default, shows full data structure with JSON flag"
list,system,✓,✓,VERIFIED,"Shows categorized command list in readable format, returns full structure with JSON"
help,system,✓,✓,VERIFIED,"Shows help in natural language, returns detailed command structure with JSON"
systemInfo,system,✓,✓,VERIFIED,"Shows system information in readable format, structured data with JSON flag"
getCurrentUser,system,✓,✓,VERIFIED,"Shows user information in readable format, full details with JSON"
listFiles,file,✓,✓,VERIFIED,"Lists files in natural language, returns complete array in JSON format"
getCurrentDate,system,✓,✓,VERIFIED,"Shows date in natural format, structured with JSON flag"
wonderIfFileIsBinary,file,✓,✓,VERIFIED,"File type in natural language, detailed analysis with JSON"
qzxVersion,system,✓,✓,VERIFIED,"Version info in natural language, detailed with JSON"
wonderCommandsAmount,system,✓,✓,VERIFIED,"Command count in natural language, detailed with JSON"
CurrentDir,system,✓,✓,VERIFIED,"Directory path in natural language, full details with JSON"
getRAMInfo,system,✓,✓,VERIFIED,"Memory information in natural language, full metrics with JSON"
getDiskInfo,system,✓,✓,VERIFIED,"Disk space in human readable format, detailed metrics with JSON"
findFiles,file,✓,✓,VERIFIED,"File search results in readable format, full details with JSON"
readFile,file,✓,✓,VERIFIED,"File contents in natural presentation, structured with JSON flag"
wonderIfFileEmpty,file,✓,✓,VERIFIED,"File status in natural language, detailed with JSON"
wonderIfDirectoryEmpty,file,✓,✓,VERIFIED,"Directory status in natural language, detailed with JSON"
getCPULoad,system,✓,✓,VERIFIED,"Shows CPU information in readable format, detailed metrics with JSON"
countLinesInFile,file,✓,✓,VERIFIED,"Line counts in readable format, full statistics with JSON"
listProcesses,system,✓,✓,VERIFIED,"Process list in readable format, full details with JSON"
Welcome,system,✓,✓,VERIFIED,"Welcome message in natural language, rich data with JSON flag"
findText,file,✓,✓,VERIFIED,"Search results in readable format, structured with JSON flag"
runScript,system,✓,✓,VERIFIED,"Script execution results in natural language, detailed status with JSON"
killProcess,system,✓,✓,VERIFIED,"Status messages in natural language, detailed result with JSON"
getGPULoad,system,✓,✓,VERIFIED,"GPU information in readable format, detailed metrics with JSON"
copyFile,file,✓,✓,VERIFIED,"Copy status in natural language, detailed result with JSON"
moveFile,file,✓,✓,VERIFIED,"Move status in natural language, detailed result with JSON"
deleteFile,file,✓,✓,VERIFIED,"Deletion status in natural language, detailed result with JSON"
createDirectory,file,✓,✓,VERIFIED,"Creation status in natural language, detailed result with JSON"
